
2025/03/17 (08:37:25) | ===> btop++ v.1.4.0
2025/03/17 (08:37:25) | ERROR: Stall in Runner thread, restarting!

2025/03/19 (22:01:03) | ===> btop++ v.1.4.0
2025/03/19 (22:01:03) | ERROR: Stall in Runner thread, restarting!

2025/03/23 (09:58:22) | ===> btop++ v.1.4.0
2025/03/23 (09:58:22) | ERROR: Stall in Runner thread, restarting!

2025/03/24 (10:18:54) | ===> btop++ v.1.4.0
2025/03/24 (10:18:54) | ERROR: Stall in Runner thread, restarting!

2025/03/26 (14:16:49) | ===> btop++ v.1.4.0
2025/03/26 (14:16:49) | WARNING: Failed to join _runner thread on exit!

2025/03/26 (18:05:08) | ===> btop++ v.1.4.0
2025/03/26 (18:05:08) | WARNING: Failed to join _runner thread on exit!

2025/03/29 (10:23:58) | ===> btop++ v.1.4.0
2025/03/29 (10:23:58) | ERROR: Stall in Runner thread, restarting!

2025/03/30 (09:16:21) | ===> btop++ v.1.4.0
2025/03/30 (09:16:21) | ERROR: Stall in Runner thread, restarting!

2025/03/31 (09:49:46) | ===> btop++ v.1.4.0
2025/03/31 (09:49:46) | ERROR: Stall in Runner thread, restarting!

2025/04/01 (23:30:52) | ===> btop++ v.1.4.0
2025/04/01 (23:30:52) | ERROR: Stall in Runner thread, restarting!

2025/04/02 (09:53:21) | ===> btop++ v.1.4.0
2025/04/02 (09:53:21) | ERROR: Stall in Runner thread, restarting!

2025/04/03 (09:01:02) | ===> btop++ v.1.4.0
2025/04/03 (09:01:02) | ERROR: Stall in Runner thread, restarting!

2025/04/07 (08:52:10) | ===> btop++ v.1.4.0
2025/04/07 (08:52:10) | ERROR: Stall in Runner thread, restarting!

2025/04/10 (08:36:14) | ===> btop++ v.1.4.0
2025/04/10 (08:36:14) | ERROR: Stall in Runner thread, restarting!

2025/04/12 (09:03:16) | ===> btop++ v.1.4.0
2025/04/12 (09:03:16) | ERROR: Stall in Runner thread, restarting!

2025/04/12 (22:16:59) | ===> btop++ v.1.4.0
2025/04/12 (22:16:59) | ERROR: Stall in Runner thread, restarting!

2025/04/15 (09:29:11) | ===> btop++ v.1.4.0
2025/04/15 (09:29:11) | ERROR: Stall in Runner thread, restarting!

2025/04/16 (07:10:02) | ===> btop++ v.1.4.0
2025/04/16 (07:10:02) | ERROR: Stall in Runner thread, restarting!

2025/04/17 (08:45:40) | ===> btop++ v.1.4.0
2025/04/17 (08:45:40) | ERROR: Stall in Runner thread, restarting!

2025/04/18 (09:07:11) | ===> btop++ v.1.4.0
2025/04/18 (09:07:11) | ERROR: Stall in Runner thread, restarting!

2025/04/19 (09:23:44) | ===> btop++ v.1.4.0
2025/04/19 (09:23:44) | ERROR: Stall in Runner thread, restarting!

2025/04/21 (06:50:21) | ===> btop++ v.1.4.0
2025/04/21 (06:50:21) | ERROR: Stall in Runner thread, restarting!

2025/04/22 (06:54:21) | ===> btop++ v.1.4.0
2025/04/22 (06:54:21) | ERROR: Stall in Runner thread, restarting!

2025/04/23 (08:24:30) | ===> btop++ v.1.4.0
2025/04/23 (08:24:30) | ERROR: Stall in Runner thread, restarting!

2025/04/24 (09:03:56) | ===> btop++ v.1.4.0
2025/04/24 (09:03:56) | ERROR: Stall in Runner thread, restarting!

2025/04/25 (08:34:06) | ===> btop++ v.1.4.0
2025/04/25 (08:34:06) | ERROR: Stall in Runner thread, restarting!

2025/04/26 (08:18:06) | ===> btop++ v.1.4.0
2025/04/26 (08:18:06) | ERROR: Stall in Runner thread, restarting!

2025/04/27 (09:07:54) | ===> btop++ v.1.4.0
2025/04/27 (09:07:54) | ERROR: Stall in Runner thread, restarting!

2025/04/28 (08:39:19) | ===> btop++ v.1.4.0
2025/04/28 (08:39:19) | ERROR: Stall in Runner thread, restarting!

2025/04/28 (21:43:12) | ===> btop++ v.1.3.0
2025/04/28 (21:43:12) | ERROR: Stall in Runner thread, restarting!

2025/04/30 (08:21:28) | ===> btop++ v.1.3.0
2025/04/30 (08:21:28) | ERROR: Stall in Runner thread, restarting!

2025/05/23 (12:04:55) | ===> btop++ v.1.3.0
2025/05/23 (12:04:55) | WARNING: Failed to join _runner thread on exit!

2025/05/23 (12:06:26) | ===> btop++ v.1.3.0
2025/05/23 (12:06:26) | WARNING: Failed to join _runner thread on exit!

2025/05/23 (12:09:55) | ===> btop++ v.1.3.0
2025/05/23 (12:09:55) | WARNING: Failed to join _runner thread on exit!

2025/05/23 (12:27:06) | ===> btop++ v.1.3.0
2025/05/23 (12:27:06) | WARNING: Failed to join _runner thread on exit!

2025/05/23 (12:29:46) | ===> btop++ v.1.3.0
2025/05/23 (12:29:46) | WARNING: Failed to join _runner thread on exit!

2025/05/23 (12:30:02) | ===> btop++ v.1.3.0
2025/05/23 (12:30:02) | WARNING: Failed to join _runner thread on exit!

2025/05/23 (12:30:32) | ===> btop++ v.1.3.0
2025/05/23 (12:30:32) | WARNING: Failed to join _runner thread on exit!

2025/05/23 (13:15:16) | ===> btop++ v.1.3.0
2025/05/23 (13:15:16) | WARNING: Failed to join _runner thread on exit!

2025/05/23 (13:25:42) | ===> btop++ v.1.3.0
2025/05/23 (13:25:42) | WARNING: Failed to join _runner thread on exit!

2025/05/23 (13:40:15) | ===> btop++ v.1.3.0
2025/05/23 (13:40:15) | WARNING: Failed to join _runner thread on exit!

2025/05/23 (13:42:44) | ===> btop++ v.1.3.0
2025/05/23 (13:42:44) | WARNING: Failed to join _runner thread on exit!

2025/05/23 (13:45:06) | ===> btop++ v.1.3.0
2025/05/23 (13:45:06) | WARNING: Failed to join _runner thread on exit!

2025/05/23 (13:48:48) | ===> btop++ v.1.3.0
2025/05/23 (13:48:48) | WARNING: Failed to join _runner thread on exit!

2025/05/23 (14:41:06) | ===> btop++ v.1.3.0
2025/05/23 (14:41:06) | WARNING: Failed to join _runner thread on exit!

2025/05/23 (14:41:59) | ===> btop++ v.1.3.0
2025/05/23 (14:41:59) | WARNING: Failed to join _runner thread on exit!

2025/05/23 (14:49:30) | ===> btop++ v.1.3.0
2025/05/23 (14:49:30) | WARNING: Failed to join _runner thread on exit!

2025/05/23 (15:05:15) | ===> btop++ v.1.3.0
2025/05/23 (15:05:15) | WARNING: Failed to join _runner thread on exit!

2025/05/23 (15:07:01) | ===> btop++ v.1.3.0
2025/05/23 (15:07:01) | WARNING: Failed to join _runner thread on exit!

2025/05/23 (18:04:59) | ===> btop++ v.1.3.0
2025/05/23 (18:04:59) | WARNING: Failed to join _runner thread on exit!

2025/05/23 (19:27:57) | ===> btop++ v.1.3.0
2025/05/23 (19:27:57) | WARNING: Failed to join _runner thread on exit!

2025/05/23 (20:02:49) | ===> btop++ v.1.3.0
2025/05/23 (20:02:49) | WARNING: Failed to join _runner thread on exit!

2025/05/23 (20:04:22) | ===> btop++ v.1.3.0
2025/05/23 (20:04:22) | WARNING: Failed to join _runner thread on exit!

2025/05/23 (20:11:19) | ===> btop++ v.1.3.0
2025/05/23 (20:11:19) | WARNING: Failed to join _runner thread on exit!

2025/05/23 (21:48:57) | ===> btop++ v.1.3.0
2025/05/23 (21:48:57) | WARNING: Failed to join _runner thread on exit!

2025/05/24 (07:53:14) | ===> btop++ v.1.3.0
2025/05/24 (07:53:14) | WARNING: Failed to join _runner thread on exit!

2025/05/24 (08:57:27) | ===> btop++ v.1.3.0
2025/05/24 (08:57:27) | WARNING: Failed to join _runner thread on exit!

2025/05/24 (09:05:48) | ===> btop++ v.1.3.0
2025/05/24 (09:05:48) | WARNING: Failed to join _runner thread on exit!

2025/05/24 (09:10:34) | ===> btop++ v.1.3.0
2025/05/24 (09:10:34) | WARNING: Failed to join _runner thread on exit!

2025/05/24 (09:11:59) | ===> btop++ v.1.3.0
2025/05/24 (09:11:59) | WARNING: Failed to join _runner thread on exit!

2025/05/24 (09:26:04) | ===> btop++ v.1.3.0
2025/05/24 (09:26:04) | WARNING: Failed to join _runner thread on exit!

2025/05/24 (10:35:50) | ===> btop++ v.1.3.0
2025/05/24 (10:35:50) | WARNING: Failed to join _runner thread on exit!

2025/05/24 (10:46:50) | ===> btop++ v.1.3.0
2025/05/24 (10:46:50) | WARNING: Failed to join _runner thread on exit!

2025/05/24 (12:01:57) | ===> btop++ v.1.3.0
2025/05/24 (12:01:57) | WARNING: Failed to join _runner thread on exit!

2025/05/24 (12:02:04) | ===> btop++ v.1.3.0
2025/05/24 (12:02:04) | WARNING: Failed to join _runner thread on exit!

2025/05/24 (12:06:02) | ===> btop++ v.1.3.0
2025/05/24 (12:06:02) | WARNING: Failed to join _runner thread on exit!

2025/05/24 (12:56:43) | ===> btop++ v.1.3.0
2025/05/24 (12:56:43) | WARNING: Failed to join _runner thread on exit!

2025/05/24 (13:21:44) | ===> btop++ v.1.3.0
2025/05/24 (13:21:44) | WARNING: Failed to join _runner thread on exit!

2025/05/24 (14:12:42) | ===> btop++ v.1.3.0
2025/05/24 (14:12:42) | WARNING: Failed to join _runner thread on exit!

2025/05/24 (16:23:16) | ===> btop++ v.1.3.0
2025/05/24 (16:23:16) | WARNING: Failed to join _runner thread on exit!

2025/05/24 (17:11:01) | ===> btop++ v.1.3.0
2025/05/24 (17:11:01) | WARNING: Failed to join _runner thread on exit!

2025/05/24 (18:20:12) | ===> btop++ v.1.3.0
2025/05/24 (18:20:12) | WARNING: Failed to join _runner thread on exit!

2025/05/24 (18:24:30) | ===> btop++ v.1.3.0
2025/05/24 (18:24:30) | WARNING: Failed to join _runner thread on exit!

2025/05/24 (18:49:18) | ===> btop++ v.1.3.0
2025/05/24 (18:49:18) | WARNING: Failed to join _runner thread on exit!

2025/05/24 (20:51:36) | ===> btop++ v.1.3.0
2025/05/24 (20:51:36) | WARNING: Failed to join _runner thread on exit!

2025/05/24 (23:12:56) | ===> btop++ v.1.3.0
2025/05/24 (23:12:56) | WARNING: Failed to join _runner thread on exit!

2025/05/24 (23:13:07) | ===> btop++ v.1.3.0
2025/05/24 (23:13:07) | WARNING: Failed to join _runner thread on exit!

2025/05/25 (16:03:38) | ===> btop++ v.1.3.0
2025/05/25 (16:03:38) | WARNING: Failed to join _runner thread on exit!

2025/05/25 (16:10:15) | ===> btop++ v.1.3.0
2025/05/25 (16:10:15) | WARNING: Failed to join _runner thread on exit!

2025/05/25 (16:21:25) | ===> btop++ v.1.3.0
2025/05/25 (16:21:25) | WARNING: Failed to join _runner thread on exit!

2025/05/25 (17:57:07) | ===> btop++ v.1.3.0
2025/05/25 (17:57:07) | WARNING: Failed to join _runner thread on exit!

2025/05/25 (23:22:19) | ===> btop++ v.1.3.0
2025/05/25 (23:22:19) | ERROR: Stall in Runner thread, restarting!

2025/05/26 (21:45:00) | ===> btop++ v.1.3.0
2025/05/26 (21:45:00) | ERROR: Stall in Runner thread, restarting!
2025/05/27 (09:03:15) | ERROR: Stall in Runner thread, restarting!

2025/05/27 (17:28:19) | ===> btop++ v.1.3.0
2025/05/27 (17:28:19) | WARNING: Failed to join _runner thread on exit!

2025/05/27 (17:45:48) | ===> btop++ v.1.3.0
2025/05/27 (17:45:48) | WARNING: Failed to join _runner thread on exit!

2025/05/27 (17:50:23) | ===> btop++ v.1.3.0
2025/05/27 (17:50:23) | WARNING: Failed to join _runner thread on exit!

2025/05/27 (18:17:15) | ===> btop++ v.1.3.0
2025/05/27 (18:17:15) | WARNING: Failed to join _runner thread on exit!

2025/05/27 (18:18:34) | ===> btop++ v.1.3.0
2025/05/27 (18:18:34) | WARNING: Failed to join _runner thread on exit!

2025/05/27 (18:47:03) | ===> btop++ v.1.3.0
2025/05/27 (18:47:03) | WARNING: Failed to join _runner thread on exit!

2025/05/27 (18:48:18) | ===> btop++ v.1.3.0
2025/05/27 (18:48:18) | WARNING: Failed to join _runner thread on exit!

2025/05/27 (18:54:53) | ===> btop++ v.1.3.0
2025/05/27 (18:54:53) | WARNING: Failed to join _runner thread on exit!

2025/05/27 (18:58:00) | ===> btop++ v.1.3.0
2025/05/27 (18:58:00) | WARNING: Failed to join _runner thread on exit!

2025/05/27 (19:08:24) | ===> btop++ v.1.3.0
2025/05/27 (19:08:24) | WARNING: Failed to join _runner thread on exit!

2025/05/27 (19:29:34) | ===> btop++ v.1.3.0
2025/05/27 (19:29:34) | WARNING: Failed to join _runner thread on exit!

2025/05/27 (19:34:57) | ===> btop++ v.1.3.0
2025/05/27 (19:34:57) | WARNING: Failed to join _runner thread on exit!

2025/05/27 (19:37:58) | ===> btop++ v.1.3.0
2025/05/27 (19:37:58) | WARNING: Failed to join _runner thread on exit!

2025/05/27 (19:42:38) | ===> btop++ v.1.3.0
2025/05/27 (19:42:38) | WARNING: Failed to join _runner thread on exit!

2025/05/27 (19:43:03) | ===> btop++ v.1.3.0
2025/05/27 (19:43:03) | WARNING: Failed to join _runner thread on exit!

2025/05/27 (19:43:11) | ===> btop++ v.1.3.0
2025/05/27 (19:43:11) | WARNING: Failed to join _runner thread on exit!

2025/05/27 (19:47:02) | ===> btop++ v.1.3.0
2025/05/27 (19:47:02) | WARNING: Failed to join _runner thread on exit!

2025/05/27 (19:56:39) | ===> btop++ v.1.3.0
2025/05/27 (19:56:39) | WARNING: Failed to join _runner thread on exit!

2025/05/27 (20:03:18) | ===> btop++ v.1.3.0
2025/05/27 (20:03:18) | WARNING: Failed to join _runner thread on exit!

2025/05/27 (20:06:09) | ===> btop++ v.1.3.0
2025/05/27 (20:06:09) | WARNING: Failed to join _runner thread on exit!

2025/05/27 (20:06:34) | ===> btop++ v.1.3.0
2025/05/27 (20:06:34) | WARNING: Failed to join _runner thread on exit!

2025/05/27 (20:09:46) | ===> btop++ v.1.3.0
2025/05/27 (20:09:46) | WARNING: Failed to join _runner thread on exit!

2025/05/27 (20:42:09) | ===> btop++ v.1.3.0
2025/05/27 (20:42:09) | WARNING: Failed to join _runner thread on exit!

2025/05/27 (20:42:17) | ===> btop++ v.1.3.0
2025/05/27 (20:42:17) | WARNING: Failed to join _runner thread on exit!

2025/05/27 (20:49:27) | ===> btop++ v.1.3.0
2025/05/27 (20:49:27) | WARNING: Failed to join _runner thread on exit!

2025/05/27 (21:01:38) | ===> btop++ v.1.3.0
2025/05/27 (21:01:38) | WARNING: Failed to join _runner thread on exit!

2025/05/27 (21:12:43) | ===> btop++ v.1.3.0
2025/05/27 (21:12:43) | WARNING: Failed to join _runner thread on exit!

2025/05/27 (21:15:26) | ===> btop++ v.1.3.0
2025/05/27 (21:15:26) | WARNING: Failed to join _runner thread on exit!

2025/05/28 (06:34:42) | ===> btop++ v.1.3.0
2025/05/28 (06:34:42) | ERROR: Stall in Runner thread, restarting!

2025/05/28 (06:41:34) | ===> btop++ v.1.3.0
2025/05/28 (06:41:34) | WARNING: Failed to join _runner thread on exit!

2025/05/28 (06:46:50) | ===> btop++ v.1.3.0
2025/05/28 (06:46:50) | WARNING: Failed to join _runner thread on exit!

2025/05/28 (06:47:30) | ===> btop++ v.1.3.0
2025/05/28 (06:47:30) | WARNING: Failed to join _runner thread on exit!

2025/05/28 (07:58:50) | ===> btop++ v.1.3.0
2025/05/28 (07:58:50) | WARNING: Failed to join _runner thread on exit!

2025/05/28 (09:30:20) | ===> btop++ v.1.3.0
2025/05/28 (09:30:20) | WARNING: Failed to join _runner thread on exit!

2025/05/28 (10:13:47) | ===> btop++ v.1.3.0
2025/05/28 (10:13:47) | WARNING: Failed to join _runner thread on exit!

2025/05/28 (10:43:31) | ===> btop++ v.1.3.0
2025/05/28 (10:43:31) | WARNING: Failed to join _runner thread on exit!

2025/05/28 (11:39:59) | ===> btop++ v.1.3.0
2025/05/28 (11:39:59) | WARNING: Failed to join _runner thread on exit!

2025/05/28 (12:41:11) | ===> btop++ v.1.3.0
2025/05/28 (12:41:11) | WARNING: Failed to join _runner thread on exit!

2025/05/28 (12:41:22) | ===> btop++ v.1.3.0
2025/05/28 (12:41:22) | WARNING: Failed to join _runner thread on exit!

2025/05/28 (13:21:22) | ===> btop++ v.1.3.0
2025/05/28 (13:21:22) | WARNING: Failed to join _runner thread on exit!

2025/05/28 (13:23:28) | ===> btop++ v.1.3.0
2025/05/28 (13:23:28) | WARNING: Failed to join _runner thread on exit!

2025/05/28 (13:26:21) | ===> btop++ v.1.3.0
2025/05/28 (13:26:21) | WARNING: Failed to join _runner thread on exit!

2025/05/28 (14:54:25) | ===> btop++ v.1.3.0
2025/05/28 (14:54:25) | WARNING: Failed to join _runner thread on exit!

2025/05/28 (14:55:11) | ===> btop++ v.1.3.0
2025/05/28 (14:55:11) | WARNING: Failed to join _runner thread on exit!

2025/05/29 (09:05:00) | ===> btop++ v.1.3.0
2025/05/29 (09:05:00) | WARNING: Failed to join _runner thread on exit!

2025/05/29 (09:28:41) | ===> btop++ v.1.3.0
2025/05/29 (09:28:41) | WARNING: Failed to join _runner thread on exit!

2025/05/29 (12:04:14) | ===> btop++ v.1.3.0
2025/05/29 (12:04:14) | WARNING: Failed to join _runner thread on exit!

2025/05/29 (12:05:37) | ===> btop++ v.1.3.0
2025/05/29 (12:05:37) | WARNING: Failed to join _runner thread on exit!

2025/05/29 (12:09:41) | ===> btop++ v.1.3.0
2025/05/29 (12:09:41) | WARNING: Failed to join _runner thread on exit!

2025/05/29 (16:04:37) | ===> btop++ v.1.3.0
2025/05/29 (16:04:37) | WARNING: Failed to join _runner thread on exit!

2025/05/29 (16:07:03) | ===> btop++ v.1.3.0
2025/05/29 (16:07:03) | WARNING: Failed to join _runner thread on exit!

2025/05/29 (16:11:34) | ===> btop++ v.1.3.0
2025/05/29 (16:11:34) | WARNING: Failed to join _runner thread on exit!

2025/05/29 (16:13:26) | ===> btop++ v.1.3.0
2025/05/29 (16:13:26) | WARNING: Failed to join _runner thread on exit!

2025/05/29 (16:21:33) | ===> btop++ v.1.3.0
2025/05/29 (16:21:33) | WARNING: Failed to join _runner thread on exit!

2025/05/29 (16:33:54) | ===> btop++ v.1.3.0
2025/05/29 (16:33:54) | WARNING: Failed to join _runner thread on exit!

2025/05/29 (16:41:49) | ===> btop++ v.1.3.0
2025/05/29 (16:41:49) | WARNING: Failed to join _runner thread on exit!

2025/05/29 (17:20:31) | ===> btop++ v.1.3.0
2025/05/29 (17:20:31) | WARNING: Failed to join _runner thread on exit!

2025/05/29 (17:20:56) | ===> btop++ v.1.3.0
2025/05/29 (17:20:56) | WARNING: Failed to join _runner thread on exit!

2025/05/29 (17:35:34) | ===> btop++ v.1.3.0
2025/05/29 (17:35:34) | WARNING: Failed to join _runner thread on exit!

2025/05/29 (18:47:38) | ===> btop++ v.1.3.0
2025/05/29 (18:47:38) | WARNING: Failed to join _runner thread on exit!

2025/05/29 (19:01:53) | ===> btop++ v.1.3.0
2025/05/29 (19:01:53) | WARNING: Failed to join _runner thread on exit!

2025/05/29 (19:16:09) | ===> btop++ v.1.3.0
2025/05/29 (19:16:09) | WARNING: Failed to join _runner thread on exit!

2025/05/29 (19:16:48) | ===> btop++ v.1.3.0
2025/05/29 (19:16:48) | WARNING: Failed to join _runner thread on exit!

2025/05/29 (19:35:42) | ===> btop++ v.1.3.0
2025/05/29 (19:35:42) | WARNING: Failed to join _runner thread on exit!

2025/05/29 (19:53:41) | ===> btop++ v.1.3.0
2025/05/29 (19:53:41) | WARNING: Failed to join _runner thread on exit!

2025/05/29 (19:56:59) | ===> btop++ v.1.3.0
2025/05/29 (19:56:59) | WARNING: Failed to join _runner thread on exit!

2025/05/29 (21:44:28) | ===> btop++ v.1.3.0
2025/05/29 (21:44:28) | WARNING: Failed to join _runner thread on exit!

2025/05/29 (21:48:17) | ===> btop++ v.1.3.0
2025/05/29 (21:48:17) | WARNING: Failed to join _runner thread on exit!

2025/05/30 (08:38:32) | ===> btop++ v.1.3.0
2025/05/30 (08:38:32) | WARNING: Failed to join _runner thread on exit!

2025/05/30 (08:54:00) | ===> btop++ v.1.3.0
2025/05/30 (08:54:00) | WARNING: Failed to join _runner thread on exit!

2025/05/30 (10:55:50) | ===> btop++ v.1.3.0
2025/05/30 (10:55:50) | WARNING: Failed to join _runner thread on exit!

2025/05/30 (11:03:16) | ===> btop++ v.1.3.0
2025/05/30 (11:03:16) | WARNING: Failed to join _runner thread on exit!

2025/05/30 (11:12:50) | ===> btop++ v.1.3.0
2025/05/30 (11:12:50) | WARNING: Failed to join _runner thread on exit!

2025/05/30 (11:13:58) | ===> btop++ v.1.3.0
2025/05/30 (11:13:58) | WARNING: Failed to join _runner thread on exit!

2025/05/30 (11:59:52) | ===> btop++ v.1.3.0
2025/05/30 (11:59:52) | WARNING: Failed to join _runner thread on exit!

2025/05/30 (12:53:19) | ===> btop++ v.1.3.0
2025/05/30 (12:53:19) | WARNING: Failed to join _runner thread on exit!

2025/05/30 (12:56:30) | ===> btop++ v.1.3.0
2025/05/30 (12:56:30) | WARNING: Failed to join _runner thread on exit!

2025/05/30 (15:29:15) | ===> btop++ v.1.3.0
2025/05/30 (15:29:15) | WARNING: Failed to join _runner thread on exit!

2025/05/30 (15:36:21) | ===> btop++ v.1.3.0
2025/05/30 (15:36:21) | WARNING: Failed to join _runner thread on exit!

2025/05/30 (21:27:52) | ===> btop++ v.1.3.0
2025/05/30 (21:27:52) | WARNING: Failed to join _runner thread on exit!

2025/05/30 (21:29:04) | ===> btop++ v.1.3.0
2025/05/30 (21:29:04) | ERROR: Stall in Runner thread, restarting!

2025/05/31 (09:16:33) | ===> btop++ v.1.3.0
2025/05/31 (09:16:33) | WARNING: Failed to join _runner thread on exit!

2025/05/31 (10:26:05) | ===> btop++ v.1.3.0
2025/05/31 (10:26:05) | WARNING: Failed to join _runner thread on exit!

2025/05/31 (10:40:09) | ===> btop++ v.1.3.0
2025/05/31 (10:40:09) | WARNING: Failed to join _runner thread on exit!

2025/05/31 (10:40:41) | ===> btop++ v.1.3.0
2025/05/31 (10:40:41) | WARNING: Failed to join _runner thread on exit!

